688,Other final products & packaging,3
689,[Unassigned],3
690,Construction of buildings,3
691,Building materials,3
692,Auxiliary construction practices,3
693,Specific materials & purposes,3
694,Wood construction,3
695,Roof covering,3
696,Utilities,3
697,"Heating, ventilating & air-conditioning",3
698,Detail finishing,3
699,[Unassigned],3
700,The arts,3
701,Philosophy of fine & decorative arts,3
702,Miscellany of fine and decorative arts,3
703,Dictionaries of fine & decorative arts,3
704,Special topics in fine and decorative arts,3
705,Serial publications of fine & decorative arts,3
706,Organizations & management,3
707,"Education, research & related topics",3
708,"Galleries, museums & private collections",3
709,"History, geographic treatment, biography",3
710,Area planning and landscape architecture,3
711,Area planning (Civic art),3
712,Landscape architecture (Landscape design),3
713,Landscape architecture of trafficways,3
714,Water features in landscape architecture,3
715,Woody plants in landscape architecture,3
716,Herbaceous plants,3
717,Structures in landscape architecture,3
718,Landscape design of cemeteries,3
719,Natural landscapes,3
720,Architecture,3
721,Architectural materials and structure,3
722,Architecture from earliest times to ca. 300,3
723,Architecture from ca. 300 to 1399,3
724,Architecture from 1400,3
725,Public structures,3
726,Buildings for religious and related purposes,3
727,Buildings for education & research,3
728,Residential and related buildings,3
729,Design & decoration,3
730,Sculpture and related arts,3
731,"Processes, forms, subjects of sculpture",3
732,Sculpture to ca. 500,3
733,"Greek, Etruscan, Roman sculpture",3
734,Sculpture from ca. 500 to 1399,3
735,Sculpture from 1400,3
736,Carving and carvings,3
737,Numismatics and sigillography,3
738,Ceramic arts,3
739,Art metalwork,3
740,Graphic arts and decorative arts,3
741,Drawing and drawings,3
742,Perspective in drawing,3
743,Drawing and drawings by subject,3
744,[Unassigned],3
745,Decorative arts,3
746,Textile arts,3
747,Interior decoration,3
748,Glass,3
749,Furniture and accessories,3
750,Painting and paintings,3
751,"Techniques, equipment, materials & forms",3
752,Color,3
753,"Symbolism, allegory, mythology, legend",3
754,Genre paintings,3
755,Religion,3
756,[Unassigned],3
757,Human figures,3
758,"Nature, cityscapes & other subjects",3
759,"History, geographic treatment, biography",3
760,Printmaking & prints,3
761,Relief processes (Block printing),3
762,[Unassigned],3
763,Lithographic processes,3
764,Chromolithography and serigraphy,3
765,Metal engraving,3
766,"Mezzotinting, aquatinting, related processes",3
767,Etching and drypoint,3
768,[Unassigned],3
769,Prints,3
770,"Photography, computer art, cinematography",3
771,"Techniques, equipment & materials",3
772,Metallic salt processes,3
773,Pigment processes of printing,3
774,Holography,3
775,[Unassigned],3
776,Computer art (Digital art),3
777,Cinematography and videography,3
778,Specific fields & kinds of photography,3
779,Photographic images,3
780,Music,3
781,General principles and musical forms,3
782,Vocal music,3
783,Music for single voices,3
784,Instruments & instrumental ensembles,3
785,Ensembles with one instrument per part,3
786,Keyboard & other instruments,3
787,Stringed instruments (Chordophones),3
788,Wind instruments (Aerophones),3
789,(Optional number),3
790,Recreational and performing arts,3
791,Public performances,3
792,Stage presentations,3
793,Indoor games and amusements,3
794,Indoor games of skill,3
795,Games of chance,3
796,Athletic and outdoor sports and games,3
797,Aquatic and air sports,3
798,Equestrian sports and animal racing,3
799,"Fishing, hunting, shooting",3
800,Literature (Belles-lettres) and rhetoric,3
801,Philosophy and theory,3
802,Miscellany,3
803,Dictionaries & encyclopedias,3
804,[Unassigned],3
805,Serial publications,3
806,Organizations and management,3
807,"Education, research, related topics",3
808,Rhetoric & collections of literature,3
809,"History, description & criticism",3
810,American literature in English,3
811,American poetry in English,3
812,American drama in English,3
813,American fiction in English,3
814,American essays in English,3
815,American speeches in English,3
816,American letters in English,3
817,American humor and satire in English,3
818,American miscellaneous writings,3
819,(Optional number),3
820,English & Old English literatures,3
821,English poetry,3
822,English drama,3
823,English fiction,3
824,English essays,3
825,English speeches,3
826,English letters,3
827,English humor and satire,3
828,English miscellaneous writings,3
829,Old English (Anglo-Saxon) literature,3
830,Literatures of Germanic languages,3
831,German poetry,3
832,German drama,3
833,German fiction,3
834,German essays,3
835,German speeches,3
836,German letters,3
837,German humor and satire,3
838,German miscellaneous writings,3
839,Other Germanic literatures,3
840,Literatures of Romance languages,3
841,French poetry,3
842,French drama,3
843,French fiction,3
844,French essays,3
845,French speeches,3
846,French letters,3
847,French humor and satire,3
848,French miscellaneous writings,3
849,"Occitan, Catalan, Franco-Provençal",3
850,"Italian, Romanian & related literatures",3
851,Italian poetry,3
852,Italian drama,3
853,Italian fiction,3
854,Italian essays,3
855,Italian speeches,3
856,Italian letters,3
857,Italian humor and satire,3
858,Italian miscellaneous writings,3
859,Romanian & related literatures,3
860,Spanish & Portuguese literatures,3
861,Spanish poetry,3
862,Spanish drama,3
863,Spanish fiction,3
864,Spanish essays,3
865,Spanish speeches,3
866,Spanish letters,3
867,Spanish humor and satire,3
868,Spanish miscellaneous writings,3
869,Portuguese and Galician literatures,3
870,Latin & related Italic literatures,3
871,Latin poetry,3
872,Latin dramatic poetry and drama,3
873,Latin epic poetry and fiction,3
874,Latin lyric poetry,3
875,Latin speeches,3
876,Latin letters,3
877,Latin humor and satire,3
878,Latin miscellaneous writings,3
879,Literatures of other Italic languages,3
880,Classical Greek & Hellenic literatures,3
881,Classical Greek poetry,3
882,Classical Greek dramatic poetry & drama,3
883,Classical Greek epic poetry and fiction,3
884,Classical Greek lyric poetry,3
885,Classical Greek speeches,3
886,Classical Greek letters,3
887,Classical Greek humor and satire,3
888,Classical Greek miscellaneous writings,3
889,Modern Greek literature,3
890,Literatures of other languages,3
891,East Indo-European and Celtic literatures,3
892,Afro-Asiatic literatures,3
893,Non-Semitic Afro-Asiatic literatures,3
894,"Altaic, Uralic, Hyperborean & Dravidian",3
895,Literatures of East and Southeast Asia,3
896,African literatures,3
897,North American native literatures,3
898,South American native literatures,3
899,Austronesian & other literatures,3
900,History & geography,3
901,Philosophy and theory of history,3
902,Miscellany of history,3
903,Dictionaries & encyclopedias,3
904,Collected accounts of events,3
905,Serial publications of history,3
906,Organizations & management,3
907,"Education, research & related topics",3
908,Groups of people,3
909,World history,3
910,Geography and travel,3
911,Historical geography,3
912,Maps and plans of surface of earth,3
913,Geography of & travel in ancient world,3
914,Geography of and travel in Europe,3
915,Geography of and travel in Asia,3
916,Geography of and travel in Africa,3
917,Geography of & travel in North America,3
918,Geography of & travel in South America,3
919,Geography of and travel in other areas,3
920,"Biography, genealogy, insignia",3
921,(Optional number),3
922,(Optional number),3
923,(Optional number),3
924,(Optional number),3
925,(Optional number),3
926,(Optional number),3
927,(Optional number),3
928,(Optional number),3
929,"Genealogy, names & insignia",3
930,History of ancient world to ca. 499,3
931,China to 420,3
932,Egypt to 640,3
933,Palestine to 70,3
934,India to 647,3
935,Mesopotamia & Iranian Plateau to 637,3
